,precision,recall,f1-score,support
disease_management,0.25,0.3333333333333333,0.2857142857142857,3.0
early_blight,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
fertilizer,1.0,0.3333333333333333,0.5,3.0
irrigation,0.0,0.0,0.0,4.0
late_blight,0.5,0.5,0.5,2.0
prevention,0.375,1.0,0.5454545454545454,3.0
accuracy,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
macro avg,0.46527777777777773,0.47222222222222215,0.41630591630591623,18.0
weighted avg,0.4375,0.4444444444444444,0.38852813852813856,18.0
